run_id,source_path,reported_source_sha256,run_failure,numerical_collapse,policy_collapse,severe_performance_degradation,classification_rule_version,local_source_sha256
pd8b-dense-lam100-lr20-s42-rl160,collapse_sources/pd8b-dense-lam100-lr20-s42-rl160.jsonl,854510b90248da2e0d0a219222c3fdc78806b63c51c108645dd0f7a658dcf1ca,0,0,0,1,paperD-collapse-v2,d801c93e9ed2f537333f8511d5f2dc1c4db370f182e166d673665a5be7c6054a
pd8b-dense-lam100-lr20-s43-rl160,collapse_sources/pd8b-dense-lam100-lr20-s43-rl160.jsonl,8d776cc22de77f91c393bbd105fd0db922edd129710a3056f1f1be809134ca6d,0,0,0,1,paperD-collapse-v2,26b75aaa075f992547a179747fa50feaa2c947eb98b2ac2a1eec04de487fd9d4
pd8b-dense-lam100-lr20-s44-rl160,collapse_sources/pd8b-dense-lam100-lr20-s44-rl160.jsonl,5c7060df1621fd7ce071292be50cb6fa968d4e1e1dcef1a9cc5a7f61e0293b98,0,0,0,1,paperD-collapse-v2,e43171c46a683a96acfac2da399a87a39c2a97ae9a2a0cb3b4e948bca9aecc40
pd8b-top040-lam010-lr20-s42-rl160,collapse_sources/pd8b-top040-lam010-lr20-s42-rl160.jsonl,0f1344210ac24734fafd348755629a63a942a6e5b3581feb65d662edc6cb157c,0,0,0,0,paperD-collapse-v2,bfa0f984ee08aea68c20dd844aac18fc0257439993e8f4df1d5970720da09de1
pd8b-top040-lam010-lr20-s43-rl160,collapse_sources/pd8b-top040-lam010-lr20-s43-rl160.jsonl,1e4de67528f07910eb6528008ce5e59fbdfbab6c663a2915399e6a82da6ed7e8,0,0,0,0,paperD-collapse-v2,cb3368e3d5bbe5973777c010bdb84cee903590e02462043d790de0a5d23d7fc0
pd8b-top040-lam010-lr20-s44-rl160,collapse_sources/pd8b-top040-lam010-lr20-s44-rl160.jsonl,daadd9f83fa0ee4497ab44a6d02b4e40e753624ad1154a1d0ed6a65b4ae9c840,0,0,0,0,paperD-collapse-v2,bfb79f9e4dd7343c9307b8969c39069af05db3c23b5ed133e2f74384694402a2
rl_d18_llama31_8b_sparseadamw_topk04_neg01_lr20x_s40_8k,collapse_sources/rl_d18_llama31_8b_sparseadamw_topk04_neg01_lr20x_s40_8k.jsonl,3733e490f07880eaf4043c26284bda1ee518e1e844b7348a874cef39c4cc58f8,1,0,1,1,paperD-collapse-v2,b9a8e35c5b64ebe5f180ca2ba71fdccf4469ca3ca6f31f538e5d1fd1622437d6
rl_d18b_llama31_8b_sparseadamw_topk04_neg01_lr20x_s40_8k_lrfix,collapse_sources/rl_d18b_llama31_8b_sparseadamw_topk04_neg01_lr20x_s40_8k_lrfix.jsonl,30326786ebb701b03396b9cd7dde4e457711a1890a2288d20aac90ad29127410,1,0,1,1,paperD-collapse-v2,a7400499eae0d33dec80d520b60889dba5015b5a25685799f0f7ffa5f9f2cfb7
rl_d18c_llama31_8b_sparseadamw_topk04_neg01_lr20x_s100_8k,collapse_sources/rl_d18c_llama31_8b_sparseadamw_topk04_neg01_lr20x_s100_8k.jsonl,6a1dcb0082edfb9a5a82db29a2e95c350450de7425e804d9c3a47079980bd1b8,0,0,1,1,paperD-collapse-v2,8e8e24b2e08add0094674955b89f7716bcc8c1deb6e19aea12b338adcd385bb0
