condition,seed,math500_correct,math500_total,math500,aime24_correct,aime24_total,aime24,aime25_correct,aime25_total,aime25,olympiad_correct,olympiad_total,olympiad,mean4,mean2
Dense,42,11776,16000,0.73600000,106,960,0.11041667,119,960,0.12395833,8488,18592,0.45654045,0.35672886,0.59627022
Dense,43,11952,16000,0.74700000,117,960,0.12187500,131,960,0.13645833,8720,18592,0.46901893,0.36858807,0.60800947
Dense,44,11888,16000,0.74300000,121,960,0.12604167,130,960,0.13541667,8624,18592,0.46385542,0.36707844,0.60342771
Recipe,42,11728,16000,0.73300000,137,960,0.14270833,135,960,0.14062500,8840,18592,0.47547332,0.37295166,0.60423666
Recipe,43,11840,16000,0.74000000,143,960,0.14895833,144,960,0.15000000,8944,18592,0.48106713,0.38000636,0.61053356
Recipe,44,11984,16000,0.74900000,154,960,0.16041667,149,960,0.15520833,9072,18592,0.48795181,0.38814420,0.61847590
