run_id,model,rl_step,filename,reported_sha256,size_bytes,header_bytes,payload_bytes,tensor_count,logical_coordinate_count,selected_coordinate_count,eligible_density,modelwide_realized_nonzero_ratio,logical_mask_dtype,physical_storage_dtype,physical_encoding,flatten_order,padding_bit_count,padding_bits_zero,explicit_int64_indices_stored,derived_index_coverage,reported_tensor_name_list_sha256,reported_generator_script_sha256
pd8b-top040-lam100-lr01-s44-rl160,Qwen3-8B,120,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr01-s44-rl160/masks/mask_rlstep120.safetensors,9c5db0a2c85c5e662db49eb8443f081eaf98052b64562e6fc97fa16c2fa76802,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr01-s44-rl160,Qwen3-8B,160,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr01-s44-rl160/masks/mask_rlstep160.safetensors,42809bd8ee618ff44278cccff7e307aa8b219685dbb89bb8353aab77de06a6e5,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s42-rl160,Qwen3-8B,40,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s42-rl160/masks/mask_rlstep040.safetensors,7dc4f3664374d1c61480cac2a2c00bad63f32c276fcd10a23ef1f5a4f8f16b0d,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s42-rl160,Qwen3-8B,80,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s42-rl160/masks/mask_rlstep080.safetensors,3d05297c6110a1056d8cdd5c88c4b3fa759e977d5e85e93a7578b778e2e3cadd,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s42-rl160,Qwen3-8B,120,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s42-rl160/masks/mask_rlstep120.safetensors,c291afff0e20df7e3352baffd09a885fe2b48dbd2405922fbfaea94ff79c633f,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s42-rl160,Qwen3-8B,160,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s42-rl160/masks/mask_rlstep160.safetensors,fa31571bfca737854ed42527272f7d86af6e814ee6b2548b2c72b350a03c0f1c,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s43-rl160,Qwen3-8B,40,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s43-rl160/masks/mask_rlstep040.safetensors,acba0e7081b830835195cbe5a5c514ab89a3f7b5a5615d30f4f3a1618a2bce62,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s43-rl160,Qwen3-8B,80,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s43-rl160/masks/mask_rlstep080.safetensors,ed6664b4874977a4405647939507064e1ff00b2871de9861edf9e5850e0d680f,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s43-rl160,Qwen3-8B,120,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s43-rl160/masks/mask_rlstep120.safetensors,a937dc417fb2201e368d53447b5bb4d511b56a0868171e7ad90ca1644c8ea6b1,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
pd8b-top040-lam100-lr05-s43-rl160,Qwen3-8B,160,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/paperD_rl160/pd8b-top040-lam100-lr05-s43-rl160/masks/mask_rlstep160.safetensors,9ed068fcdb165859cebed4af5c30b6a2a9cb29ca82f14a040267750c7f28130a,868259840,38912,868220928,252,6945767424,2778306876,0.399999987,0.393000000,bool,uint8,bitpacked_lsb0,C,0,True,False,1.000,4dc6ef27123cbd489258a826d14458f53f077c8ce77f8a2961e1c4fa54a74f16,53fa2c00df6f60c3196ca673a780792f9810603c78d580b19b38102228a207fc
