condition,mean4,seed_uncertainty,warmup_steps,global_gradient_clip,beta1,final_reward,kl_loss,entropy,response_clip_ratio,run_failure,numerical_collapse,policy_collapse,classification,notes
Untuned Dense 20x,0.340,three-seed factorial,0,1.0,0.9,-0.150,0.090,0.150,0.650,0,0,0,severely degraded,matched AdamW constants
Tuned Dense 20x,0.383,aggregate,16,0.5,0.8,-0.08,0.04--0.07,0.18--0.23,0.25--0.45,0,0,0,degraded / partially recovered,exploratory aggregate diagnostic; not a factorial cell or tuned optimum
Dense lambda0.1 20x,0.400,three-seed factorial,,,,,,,,,,,,matched AdamW constants
Mask-only 20x,0.410,three-seed factorial,,,,,,,,,,,,matched AdamW constants
Dense 1x,0.426,three-seed factorial,,,,,,,,,,,,matched AdamW constants
Recipe 20x,0.445,three-seed factorial,0,1.0,0.9,0.080,0.030,0.250,0.100,0,0,0,normal,matched AdamW constants
