model,checkpoint_name,checkpoint_path,sft_source_step,rl_initialization_step,config_sha256,index_sha256,shard_count,all_shard_hashes_verified
Qwen3-8B,sft_am_math_50k_single/global_step_195,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/sft_am_math_50k_single/global_step_195/huggingface,195,0,3bd01d7ad7a2e203ecbbe84e24087a51c6d2a108ee4bcc42d0016bf49564983a,f0ddaa5d307f2a16ee137b12fa51e34028d17d07e30e3f201546897d1f64329f,7,1
Qwen3-1.7B,sft_d05_qwen3_1p7b_am_math_50k/global_step_195,/volume/posttrain/users/lsk/nvc-repo/sgd_rlvr_reproduce/checkpoints/sft_d05_qwen3_1p7b_am_math_50k/global_step_195/huggingface,195,0,bf19f85f40c5a4aec09eeabfa233ccf56119510fe2653c188caf20b8bdfdc7e5,b50d570fe2656be1735f0f78cf4edd44792c9db9add93986675499703fd89f43,2,1
