setting,dense_seed42,dense_seed43,dense_seed44,recipe_seed42,recipe_seed43,recipe_seed44,dense_mean,dense_sample_std,recipe_mean,recipe_sample_std,gain_mean,gain_sample_std
Qwen3-8B GRPO,0.42053118,0.42965081,0.42639278,0.44141989,0.44617029,0.44741950,0.42552492,0.00462134,0.44500323,0.00316549,0.01947830,0.00256335
Qwen3-8B DAPO,0.433,0.447,0.440,0.451,0.458,0.456,0.440,0.00700000,0.455,0.00360555,0.015,0.00360555
Qwen3-1.7B,0.35672886,0.36858807,0.36707844,0.37295166,0.38000636,0.38814420,0.36413179,0.00645540,0.38036741,0.00760270,0.01623562,0.00482375
Llama3.1-8B,0.162,0.174,0.171,0.171,0.186,0.180,0.169,0.006244998,0.179,0.007549834,0.010,0.001732051
