condition,lr_multiplier,absolute_lr,seed42,seed43,seed44,mean,sample_std
Dense,1,5e-6,0.162,0.174,0.171,0.16900000,0.00624500
Dense,5,2.5e-5,0.159,0.167,0.164,0.16333333,0.00404145
Dense,10,5e-5,0.149,0.154,0.151,0.15133333,0.00251661
Dense,20,1e-4,0.137,0.142,0.139,0.13933333,0.00251661
Recipe,1,5e-6,0.166,0.172,0.169,0.16900000,0.00300000
Recipe,5,2.5e-5,0.170,0.177,0.174,0.17366667,0.00351188
Recipe,10,5e-5,0.174,0.184,0.179,0.17900000,0.00500000
Recipe,20,1e-4,0.171,0.186,0.180,0.17900000,0.00754983
